      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 25   00:14:48   1481      0   00:15:31   1307      0
 24   00:17:04   1114      0   10:25:18   5693      0
 23   00:27:01   2818      0   00:47:25   2128      0
 22   00:08:04    984      0   01:16:52   2798      0
 21   10:20:20   7156      0   11:21:51   4637      0
 20   00:26:42   1165      0   00:42:39    815      0
 19   01:29:35   6206      0   03:33:57   7983      0
 18   01:21:00   6011      0   01:34:01   5704      0
 17   01:09:32   5024      0   04:56:50   4162      0
 16   01:01:01   3815      0   02:46:07   4253      0
 15   00:19:21    846      0   00:57:31    981      0
 14   02:13:46   8770      0   08:57:52  16947      0
 13   00:51:59   5415      0   01:17:35   3710      0
 12   00:59:09   6347      0   03:42:11   6771      0
 11   00:51:06   9447      0   00:51:17   4169      0
 10   00:56:10   7566      0   02:47:32  12648      0
  9   01:14:15   8245      0   01:57:35   5707      0
  8   00:11:17    927      0   00:17:07    885      0
  7   00:26:45   4857      0   00:36:40   4513      0
  6   01:04:20  10390      0   01:22:29   5417      0
  5   01:04:16  11318      0   01:27:47   9474      0
  4   01:22:58  13058      0   01:31:50  10856      0
  3   00:50:27  14116      0   00:59:25  10612      0
  2   00:50:22  12900      0   01:09:34   9425      0
  1   00:01:26    106      0   00:03:47    377      0
